Date,Mean,Variance
20070401,40.98751594,215.2338684
20070402,41.86223855,233.5650181
20070403,40.30512806,299.5119843
20070404,32.51319597,265.1126572
20070405,26.10473837,197.5835938
20070406,23.8270063,212.5936173
20070407,21.94928418,197.1898002
20070408,24.16991367,173.6924896
20070409,28.25551187,172.3639841
20070410,31.40916592,225.1486714
20070411,34.61374209,235.3335405
20070412,33.87902552,154.9599651
20070413,33.08267031,174.5210418
20070414,35.01380585,199.6734945
20070415,34.74879283,151.6835481
20070416,33.83603588,103.5038956
20070417,37.05564102,118.6973075
20070418,37.43532072,122.2985687
20070419,36.92583892,177.1985664
20070420,37.8890403,172.3695668
20070421,40.21033371,148.4747107
20070422,42.64115849,140.9297686
20070423,45.2481941,140.4296906
20070424,45.55874439,181.7108627
20070425,43.48936294,174.072274
20070426,43.62512256,154.6042619
20070427,45.45292518,138.0091982
20070428,44.67297392,113.6562118
20070429,44.82091945,114.8586686
20070430,44.84511496,145.3809121
